Windows 95
----------
Build 73f:
	/RETAIL/APPUI.DLL    - 4.00.73a
	/RETAIL/CAB32.EXE    - 4.00.73b
	/RETAIL/CALC.EXE     - 4.00.73a
	/RETAIL/CARDFILE.EXE - 4.00.73a
	/RETAIL/CHARMAP.EXE  - 4.00.73a
	/RETAIL/CLIPBRD.EXE  - 4.00.73a
	/RETAIL/CLIPSRV.EXE  - 4.00.73a
	/RETAIL/CLOCK.EXE    - 4.00.73a
	/RETAIL/CLOCK32.EXE  - 3.10.388.1
	/RETAIL/COMCTL32.DLL - 4.00.73a
	/RETAIL/COMMCTRL.DLL - 3.10.2.102
	/RETAIL/COMMDLG.DLL  - 3.10.2.102
	/RETAIL/CRTDLL.DLL	 - 3.10.511.1
	/RETAIL/DDEML.DLL	 - 3.11.0.70
	/RETAIL/DIBENG.DLL   - 4.00.73a
	/RETAIL/DISPDIB.DLL	 - 3.50.0.175
	/RETAIL/DMCOLOR.DLL  - 4.00.73a
	/RETAIL/DRWATSON.EXE - 4.00.73a
	/RETAIL/FINSTALL.DLL - 3.10.142
	/RETAIL/FREECELL.EXE - 4.00.73a
	/RETAIL/GDI.EXE		 - 4.00.73a
	/RETAIL/GRPCONV.EXE  - 4.00.55
	/RETAIL/HPCOLOR.DLL  - 3.10.0.68
	/RETAIL/LOCALMON.DLL - 4.00.73a
	/RETAIL/LOCALSPL.DLL - 4.00.73a
	/RETAIL/LZEXPAND.DLL - 3.10.0.103
	/RETAIL/MSGSRV32.EXE - 4.00.73a
	/RETAIL/MSHEARTS.EXE - 4.00.73a
	/RETAIL/MSPRINT.DLL  - 4.00.73a
	/RETAIL/MSPRINT2.DLL - 4.00.73a
	/RETAIL/NCDW.DLL	 - 4.00.73a
	/RETAIL/NCDX.DLL 	 - 4.00.73a
	/RETAIL/NDDEAPI.DLL  - 4.00.73a
	/RETAIL/NDDENB.DLL	 - 4.00.73a
	/RETAIL/NETAPI.DLL   - 4.00.73a
	/RETAIL/NETDDE.EXE   - 4.00.73a
	/RETAIL/NETDDEX.EXE  - 4.00.73a
	/RETAIL/NOTE32.EXE   - 3.10.388.1
	/RETAIL/NOTEPAD.EXE  - 4.00.73a
	/RETAIL/PACKAGER.EXE - 4.00.73a
	/RETAIL/PBRUSH.EXE   - 3.10.0.103
	/RETAIL/PROGMAN.EXE  - 3.10.0.103
	/RETAIL/REGEDIT.EXE  - 4.00.73a
	/RETAIL/RUNDLL.EXE	 - 4.00.73b
	/RETAIL/RUNDLL32.EXE - 4.00.73b
	/RETAIL/SETUP31.EXE  - 3.10.033
	/RETAIL/SOL.EXE		 - 4.00.73a
	/RETAIL/SYSEDIT.EXE  - 4.00.73a
	/RETAIL/TASKMAN.EXE  - 4.00.47
	/RETAIL/TERMINAL.EXE - 4.00.73a
	/RETAIL/USER.EXE	 - 4.00.73f
	/RETAIL/WARNING.EXE  - 4.00.73f
	/RETAIL/WINCHAT.EXE  - 4.00.73a
	/RETAIL/WINFILE.EXE  - 3.10.0.103
	/RETAIL/WINMETER.EXE - 4.00.73a
	/RETAIL/WINMINE.EXE  - 4.00.73a
	/RETAIL/WINPOPUP.EXE - 4.00.73a
	/RETAIL/WINVER.EXE   - 3.10.0.103
	/RETAIL/WRITE.EXE    - 3.10.0.103
	/RETAIL/MINI/GDI.EXE      - 3.10.0.103
	/RETAIL/MINI/LZEXPAND.DLL - 3.10.0.103
	/RETAIL/MINI/USER.EXE     - 3.10.0.103
	/RETAIL/MINI/VER.DLL      - 3.10.0.103
	/RETAIL/PLUSPACK/DSKMAINT.DLL - 4.00.73a
	/RETAIL/PLUSPACK/PENWIN.DLL   - 4.00.70
	/RETAIL/PLUSPACK/RECHND32.DLL - 4.00.73a
	/RETAIL/PLUSPACK/RNAAPP32.EXE - 4.00.73a
	/RETAIL/PLUSPACK/RNADLL32.DLL - 4.00.73a
	/RETAIL/PLUSPACK/RPCNS4.DLL	  - 3.10.497.1
	/RETAIL/PLUSPACK/SKB.EXE	  - 4.00.70
	/RETAIL/PLUSPACK/SKBHOOK.DLL  - 4.00.70
	/RETAIL/PLUSPACK/SYNCEN32.DLL - 4.00.73a
	/RETAIL/PLUSPACK/SYNCUI32.DLL - 4.00.73a
	/SDK/BIN/MIDL.EXE - 3.10.0.63
	/SDK/BINW/DM.DLL - 3.10.511.1
	/SDK/BINW/EECANx86.DLL - 3.10.511.1
	/SDK/BINW/EECXXX86.DLL - 3.10.511.1
	/SDK/BINW/EMX86.DLL	   - 3.10.511.1
	/SDK/BINW/RCDLL.DLL	   - 4.00.67
	/SDK/BINW/SHCV.DLL	   - 3.10.511.1
	/SDK/BINW/SYMCVT.DLL   - 3.10.511.1
	/SDK/BINW/TLLOC.DLL    - 3.10.511.1
	/SDK/BINW/TLSER.DLL    - 3.10.511.1
	/SDK/BINW/TLSER32S.DLL - 3.10.511.1
	/SDK/BINW/WINDBG.EXE   - 3.10.511.1
	/SDK/BINW/WINDBGRM.EXE - 3.10.511.1
	/SDK/BINW16/RCDLL.DLL  - 3.11.0.0
	/SDK/DEBUG/GDI.EXE    - 4.00.73a
	/SDK/DEBUG/PENWIN.DLL - 4.00.70
	/SDK/DEBUG/USER.EXE   - 4.00.73f
	/SDK/NODEBUG/GDI.EXE  - 4.00.73a
	/SDK/NODEBUG/USER.EXE - 4.00.73a
	/UTILS/AUTOCHK.EXE - 3.10.511.1
	/UTILS/UFAT.DLL    - 3.10.511.1
-------------------------------------
